,page,/find-a-job,/universal-credit,/government/collections/financial-support-for-businesses-during-coronavirus-covid-19,max,median,mean,min
4528,/government/collections/countryside-stewardship,0.71902055,0.7094005,0.7005221,0.71902055,0.7094005,0.7096477,0.7005221
4529,/expenses-and-benefits-trivial-benefits,0.68950486,0.718908,0.7064932,0.718908,0.7064932,0.7049687,0.68950486
4530,/child-trust-funds/add-money-to-the-account,0.69317925,0.71886027,0.7040711,0.71886027,0.7040711,0.7053702,0.69317925
4531,/power-of-attorney/register,0.6602367,0.7188231,0.71603763,0.7188231,0.71603763,0.69836587,0.6602367
4532,/government/publications/work-and-health-programme-provider-guidance/chapter-2-participant-identification-eligibility-and-referral,0.7187627,0.66260344,0.66869646,0.7187627,0.66869646,0.6833542,0.66260344
4533,/government/publications/uk-visa-requirements-list-for-carriers/uk-visa-requirements-for-international-carriers,0.6883143,0.71873933,0.69763845,0.71873933,0.69763845,0.7015641,0.6883143
4534,/government/publications/register-as-a-british-citizen-form-bos,0.7122293,0.71852845,0.7079643,0.71852845,0.7122293,0.7129073,0.7079643
4535,/coronavirus-local-help,0.6568734,0.7184746,0.7128901,0.7184746,0.7128901,0.69607943,0.6568734
4536,/guidance/vat-on-goods-exported-from-the-uk-notice-703,0.6846212,0.718391,0.7161135,0.718391,0.7161135,0.7063753,0.6846212
4537,/english-language,0.6592124,0.7170921,0.7183906,0.7183906,0.7170921,0.6982317,0.6592124
4538,/government/statistics/child-and-working-tax-credits-error-and-fraud-statistics-2019-to-2020,0.6849602,0.71834093,0.69497514,0.71834093,0.69497514,0.6994254,0.6849602
4539,/report-changes-child-benefit,0.6593697,0.7181758,0.7079138,0.7181758,0.7079138,0.6951532,0.6593697
4540,/government/publications/view-and-prove-your-immigration-status-evisa,0.6606004,0.71030164,0.7181104,0.7181104,0.71030164,0.69633746,0.6606004
4541,/agricultural-workers-rights/print,0.68407243,0.71063036,0.7178758,0.7178758,0.71063036,0.7041929,0.68407243
4542,/report-driving-test-impersonation,0.6740151,0.717856,0.6947673,0.717856,0.6947673,0.69554615,0.6740151
4543,/guidance/the-uks-points-based-immigration-system-information-for-eu-citizens.sk,0.65664977,0.717759,0.71147656,0.717759,0.71147656,0.6952951,0.65664977
4544,/government/publications/understanding-your-right-to-work-in-the-uk-eu-eea-and-swiss-citizens,0.66272503,0.71635854,0.717539,0.717539,0.71635854,0.69887424,0.66272503
4545,/government/publications/gcse-combined-science,0.7104734,0.70937383,0.7175167,0.7175167,0.7104734,0.7124546,0.70937383
4546,/government/publications/covid-19-free-of-charge-dbs-applications-and-fast-track-barred-list-check-service/supplementary-guidance-on-eligible-roles,0.6588876,0.7172925,0.71224636,0.7172925,0.71224636,0.6961422,0.6588876
4547,/government/organisations/intelligence-services-commissioner,0.71728367,0.67650133,0.6919101,0.71728367,0.6919101,0.6952317,0.67650133
4548,/staff-redundant/compulsory-redundancy,0.7172413,0.6748228,0.6926781,0.7172413,0.6926781,0.69491404,0.6748228
4549,/benefit-cap/when-youre-not-affected,0.65782416,0.71722615,0.7092234,0.71722615,0.7092234,0.69475794,0.65782416
4550,/green-deal-energy-saving-measures/getting-the-work-done,0.71707183,0.6847455,0.69841105,0.71707183,0.69841105,0.7000761,0.6847455
4551,/intellectual-property-an-overview/protect-your-intellectual-property,0.662973,0.7070437,0.71702456,0.71702456,0.7070437,0.69568044,0.662973
4552,/government/collections/construction-industry-scheme-forms-and-publications,0.6621627,0.71697587,0.7035121,0.71697587,0.7035121,0.6942169,0.6621627
4553,/support-for-foster-parents/claiming-benefits,0.679346,0.7169603,0.69256824,0.7169603,0.69256824,0.6962915,0.679346
4554,/sure-start-maternity-grant,0.6802863,0.7169211,0.6983207,0.7169211,0.6983207,0.6985094,0.6802863
