page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max,label
/dismiss-staff/eligibility-to-claim-unfair-dismissal,guide,services,13,0,1,0,2,
/trusts-taxes/trusts-and-capital-gains-tax,guide,services,2,0,0,0,2,
/world/denmark,taxon,other,2,0,1,0,2,
/browse/tax/capital-gains,mainstream_browse_page,other,52,1,0,0,2,
/recruitment-disabled-people/encouraging-applications,guide,services,20,0,2,1,2,
/government/collections/self-employment-forms-and-helpsheets,document_collection,other,4,1,1,0,2,
/running-a-limited-company/signs-stationery-and-promotional-material,guide,services,2,0,0,0,2,
/visit-uk-business-trip,step_by_step_nav,services,10,0,0,0,2,
/pension-credit/print,guide,services,5,0,0,0,2,
/guidance/academies-financial-returns,detailed_guide,guidance and regulation,1,0,1,0,2,
/government/collections/community-libraries-good-practice-toolkit,document_collection,other,1,0,0,0,2,
/the-warm-home-discount-scheme/low-income,guide,services,38,2,0,0,2,
/government/statistics/gross-state-pension-entitlement,official_statistics,research and statistics,2,0,0,0,2,
/guidance/style-guide/a-to-z-of-gov-uk-style,manual,guidance and regulation,3,0,0,0,2,
/stay-in-uk-stateless,answer,services,14,1,0,0,2,
/government/publications/blue-badge-can-i-get-one/can-i-get-a-blue-badge,html_publication,other,9,2,2,0,2,
/government/publications/committee-on-standards-in-public-life-287th-meeting-thursday-15-april-2021-agenda-and-minutes,transparency,transparency,1,0,0,0,2,
/government/publications/complaints-about-dwp-financial-year-2020-to-2021,transparency,transparency,11,3,0,0,2,
/government/consultations/shaping-future-support-the-health-and-disability-green-paper,open_consultation,policy and engagement,1,0,0,0,2,
/government/publications/advertise-your-vacancies/find-a-job-guide-for-employers,html_publication,other,3,1,0,0,2,
/government/organisations/government-digital-service/about,about,other,1,0,0,0,2,
/uk-market-conformity-assessment-bodies/lancashire-county-council,uk_market_conformity_assessment_body,other,1,1,0,0,2,
/government/publications/domestic-abuse-act-statutory-guidance-consultation-bsl-resources/domestic-abuse-statutory-guidance-consultation-chapter-4-agency-response-to-domestic-abuse-british-sign-language,html_publication,other,1,0,0,0,2,
/government/publications/industrial-injuries-disablement-benefit-claim-forms,form,services,8,3,1,0,2,
/guidance/financial-support-for-voluntary-community-and-social-enterprise-vcse-organisations-to-respond-to-coronavirus-covid-19,detailed_guide,guidance and regulation,2,0,1,0,2,
/government/publications/spotlight-12-taxing-the-rewards-for-work-carried-out-for-a-uk-based-employer-23-august-2011,guidance,guidance and regulation,1,0,0,0,2,
/data-protection-register-notify-ico-personal-data,transaction,services,9,1,3,0,2,
/government/publications/post-16-education-and-training-institutions-transition-grants-for-area-reviews/transition-grants-guidance-area-reviews-of-post-16-education-and-training-institutions,html_publication,other,2,0,0,0,2,
/types-of-school/private-schools,guide,services,3,1,0,0,2,
/marriages-civil-partnerships/plan-your-ceremony,guide,services,10,0,1,0,2,
/staff-redundant/avoiding-redundancies,guide,services,11,0,1,0,2,
/vat-businesses/inclusive-exclusive-prices,guide,services,3,0,1,0,2,
/guidance/healthcare-in-france-including-martinique-and-guadaloupe,detailed_guide,guidance and regulation,1,0,0,0,2,
/government/publications/general-register-office-gro-certificate-application-forms,form,services,1,0,0,0,2,
/adoption-records,guide,services,10,1,2,0,2,
/child-maintenance-if-one-parent-lives-abroad/other-partner-lives-abroad,guide,services,2,0,0,0,2,
/age-of-criminal-responsibility,answer,services,7,1,0,0,2,
/volunteering/when-you-can-volunteer,guide,services,82,4,11,3,2,
/running-a-limited-company/company-and-accounting-records,guide,services,3,0,0,0,2,
/guidance/simplified-rates-for-bringing-personal-goods-into-the-uk,detailed_guide,guidance and regulation,1,0,0,0,2,
/guidance/pension-schemes-and-unauthorised-payments,detailed_guide,guidance and regulation,13,3,1,0,2,
/tax-credits-if-moving-country-or-travelling/you-live-outside-the-uk,guide,services,2,0,0,0,2,
/service-toolkit,service_manual_service_toolkit,other,2,0,0,0,2,
/courts-tribunals,special_route,other,2,0,2,0,2,
/expenses-and-benefits-bonuses/what-to-report-and-pay,guide,services,3,0,0,0,2,
/driving-licence-codes,answer,services,15,1,2,0,2,
/guidance/payrolling-tax-employees-benefits-and-expenses-through-your-payroll,detailed_guide,guidance and regulation,2,0,0,0,2,
/solve-workplace-dispute/help-and-advice,guide,services,6,1,0,0,2,
/government/publications/register-as-a-british-citizen-stateless-person-born-outside-the-uk-or-british-overseas-territories-form-s2,form,services,1,0,0,0,2,
/monitoring-work-workers-rights,guide,services,40,5,3,0,2,
/valuing-estate-of-someone-who-died/tell-organisations,guide,services,3,0,0,0,2,
/employers-parental-bereavement-pay-leave/nonpayment-form,guide,services,2,0,0,0,2,
/find-government-property,transaction,services,2,1,1,0,2,
/guidance/immigration-rules/immigration-rules-appendix-continuous-residence,manual,guidance and regulation,4,0,0,0,2,
/how-to-vote/postal-voting,guide,services,2,0,0,0,2,
/government/publications/park-homes-and-sites-cases-residential-property-tribunal-t544,guidance,guidance and regulation,1,0,0,0,2,
/guidance/how-to-calculate-your-scheme-members-guaranteed-minimum-pension,detailed_guide,guidance and regulation,4,0,1,0,2,
/guidance/nhs-entitlements-migrant-health-guide,detailed_guide,guidance and regulation,3,0,1,1,2,
/browse/tax/vat,mainstream_browse_page,other,24,0,0,0,2,
/pay-tax-direct-debit,transaction,services,7,0,0,0,2,
