page path,document type,document supertype,number of sessions that visit this page,number of sessions where this page is an entrance hit,number of sessions where this page is an exit hit,number of sessions where this page is both an entrance and exit hit,tfdf_max
/government/organisations/student-loans-company,organisation,other,28,2,10,0,7.0
/pay-voluntary-class-3-national-insurance/bank-details,guide,services,20,5,1,0,7.0
/flexible-working/types-of-flexible-working,guide,services,60,6,3,1,7.0
/employee-leaving,answer,services,17,4,1,0,7.0
/tax-on-pension-death-benefits,answer,services,38,5,4,3,7.0
/how-to-claim-new-style-esa,step_by_step_nav,services,142,7,9,0,7.0
/guidance/immigration-rules/immigration-rules-appendix-shortage-occupation-list,manual,guidance and regulation,65,7,18,1,7.0
/financial-help-disabled/vehicles-and-transport,guide,services,90,9,3,1,7.0
/help-with-childcare-costs,guide,services,53,6,6,0,7.0
/entering-staying-uk/visas-entry-clearance,taxon,other,13,0,0,0,7.0
/early-retirement-pension/benefits,guide,services,73,14,4,0,7.0
/uk-family-visa/private-life,guide,services,17,3,1,0,7.0
/government/publications/your-new-state-pension-explained/your-state-pension-explained,html_publication,other,65,18,13,0,7.0
/guidance/coronavirus-covid-19-test-to-release-for-international-travel,detailed_guide,guidance and regulation,34,10,7,1,7.0
/probate-estate,answer,services,52,4,0,0,7.0
/paye-online,guide,services,35,13,2,0,7.0
/browse/employing-people/pensions,mainstream_browse_page,other,24,0,0,0,7.0
/government/publications/dbs-continuation-sheet,form,services,130,31,1,0,7.0
/death-spouse-benefits-tax-pension,guide,services,86,8,0,0,7.0
/government/organisations/department-for-education/services-information,services_and_information,other,29,2,2,1,7.0
/guidance/making-barring-referrals-to-the-dbs,detailed_guide,guidance and regulation,27,5,1,0,7.0
/dual-citizenship,answer,services,69,7,1,0,7.0
/what-different-qualification-levels-mean/compare-different-qualification-levels,guide,services,39,6,3,1,7.0
/tax-overpayments-and-underpayments,guide,services,73,5,11,0,7.0
/employment-contracts-and-conditions/contract-terms,guide,services,184,25,1,0,7.0
/find-covid-19-lateral-flow-test-site,local_transaction,services,22,3,13,0,7.0
/lay-offs-short-timeworking,guide,services,30,3,2,0,7.0
/apply-disabled-facilities-grant,local_transaction,services,58,4,0,0,7.0
/funding-for-postgraduate-study,answer,services,32,8,7,0,7.0
/guidance/recruiting-people-from-outside-the-uk,detailed_guide,guidance and regulation,53,12,11,0,7.0
/caution-warning-penalty,answer,services,39,9,9,4,7.0
/government/organisations/veterans-uk,organisation,other,6,3,2,0,7.0
/browse/housing-local-services/council-housing-association,mainstream_browse_page,other,79,1,4,0,7.0
/change-circumstances-visa-brp,guide,services,68,13,16,1,7.0
/pip/when-your-pip-claim-is-reviewed,guide,services,109,6,8,0,7.0
/calculate-child-maintenance,transaction,services,28,18,5,1,7.0
/government/organisations/department-for-environment-food-rural-affairs,organisation,other,21,2,7,0,7.0
/apply-home-equipment-for-disabled,local_transaction,services,49,5,1,0,7.0
/work/pensions-and-ageing-society,taxon,other,36,0,1,0,7.0
/new-employee,guide,services,19,1,1,0,7.0
/browse/disabilities/work,mainstream_browse_page,other,376,15,6,1,7.0
/biometric-residence-permits/not-arrived,guide,services,117,28,26,2,7.0
/jobcentre-plus-help-for-recruiters,guide,services,273,33,30,1,7.0
/flexible-working/after-the-application,guide,services,22,4,0,0,7.0
/guidance/new-one-off-500-payment-for-working-households-receiving-tax-credits,detailed_guide,guidance and regulation,15,1,3,0,7.0
/when-someone-dies,step_by_step_nav,services,58,3,0,0,7.0
/guidance/problems-using-government-gateway,detailed_guide,guidance and regulation,45,3,25,1,7.0
/government/organisations/ministry-of-defence,organisation,other,35,7,12,1,7.0
/intracompany-transfer-worker-visa,guide,services,60,3,3,0,7.0
/workplace-pensions-employers,guide,services,27,3,1,0,7.0
/rest-breaks-work/young-workers,guide,services,42,1,4,2,7.0
/funeral-payments,guide,services,41,2,4,0,7.0
/apply-for-disabled-bus-pass,local_transaction,services,37,9,3,0,7.0
/moving-from-benefits-to-work/help-for-parents-and-carers,guide,services,93,13,4,0,7.0
/tax-foreign-income/residence,guide,services,33,7,2,0,7.0
/disciplinary-procedures-and-action-at-work,guide,services,64,3,7,0,7.0
/government/publications/help-and-support-for-older-workers/help-and-support-for-older-workers,html_publication,other,147,19,91,24,7.0
/start-up-visa,guide,services,50,3,2,0,7.0
/sign-in-to-manage-your-student-loan-balance,transaction,services,30,9,5,0,7.0
/guidance/find-out-about-money-taken-off-your-universal-credit-payment,detailed_guide,guidance and regulation,53,6,14,0,7.0
/winter-fuel-payment/how-much-youll-get,guide,services,125,20,3,0,7.0
/find-postgraduate-teacher-training-courses,transaction,services,50,11,10,3,7.0
/government/publications/dbs-update-service-applicant-guide/dbs-update-service-applicant-guide,html_publication,other,131,31,38,1,7.0
/log-in-file-self-assessment-tax-return/register-if-youre-self-employed,answer,services,54,1,4,0,7.0
